frame,person,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,mask_stat,mask_conf,x_world,y_world
143.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9646569905281067,3.4778890873708366,-1.9838965038051144
144.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9644069905281067,3.474930155940325,-1.9815498865689662
145.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9641569905281068,3.474281906466528,-1.9814491073925473
146.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9639069905281068,3.4735836192459435,-1.9823294507931215
147.0,2.0,205.0,449.0,40.0,283.0,1.0,0.9636569905281068,3.473822100577324,-1.983773741397816
148.0,2.0,205.0,449.0,40.0,283.0,1.0,0.9634069905281069,3.4738075180034556,-1.9836423884971337
149.0,2.0,204.0,449.0,39.0,283.0,1.0,0.9631569905281069,3.474194851110226,-1.9844680264703665
150.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9629069905281069,3.47614134234083,-1.9869288135185028
151.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9626569905281069,3.4775660851329806,-1.9901201229896477
152.0,2.0,205.0,449.0,39.0,283.0,1.0,0.962406990528107,3.4774157192235324,-1.98980645417046
153.0,2.0,205.0,449.0,39.0,283.0,1.0,0.962156990528107,3.4769113498771342,-1.9902320724588543
154.0,2.0,205.0,449.0,39.0,283.0,1.0,0.961906990528107,3.4766987064885413,-1.9892866961544362
155.0,2.0,205.0,449.0,40.0,283.0,1.0,0.961656990528107,3.4755009403845105,-1.9870818054748
156.0,2.0,205.0,449.0,40.0,283.0,1.0,0.9614069905281071,3.475137038302549,-1.9854238706594398
157.0,2.0,205.0,449.0,40.0,283.0,1.0,0.9611569905281071,3.474089521734762,-1.983132630198019
158.0,2.0,205.0,449.0,40.0,283.0,1.0,0.9609069905281071,3.4743456361838843,-1.9833602468884968
159.0,2.0,205.0,449.0,40.0,283.0,1.0,0.9606569905281072,3.4746783687951845,-1.985011032064667
160.0,2.0,205.0,449.0,40.0,283.0,1.0,0.9604069905281072,3.476149178530002,-1.9867901717625698
161.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9601569905281072,3.478415415863796,-1.9907864001971476
162.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9599069905281072,3.4800858687868303,-1.9935353676490901
163.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9596569905281073,3.480809378611867,-1.9944122059549887
164.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9594069905281073,3.4806777545390033,-1.994522388420532
165.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9591569905281073,3.4818880428438725,-1.9960192588894627
166.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9589069905281074,3.481190453276777,-1.995056537507281
167.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9586569905281074,3.4811742667884347,-1.9940988422382009
168.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9584069905281074,3.4816376408199634,-1.9947962161550774
169.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9581569905281074,3.4816583654654534,-1.9933119448865884
170.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9579069905281075,3.481480892426771,-1.9914951954299902
171.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9576569905281075,3.4816333187698003,-1.9920532062804897
172.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9574069905281075,3.481615617755981,-1.9921586478577697
173.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9571569905281075,3.4804220071662066,-1.9898890242451985
174.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9569069905281076,3.4806105816293615,-1.989613800039888
175.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9566569905281076,3.4792858148536423,-1.9870187495769565
176.0,2.0,205.0,450.0,39.0,283.0,1.0,0.9564069905281076,3.479283118207899,-1.988043735201227
177.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9567033052444458,3.4801197728698368,-1.9878235344083366
178.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9625000953674316,3.4795081017730323,-1.9861720882305522
179.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9708966016769409,3.4801387895099634,-1.9862294871322732
180.0,2.0,205.0,449.0,38.0,283.0,1.0,0.970646601676941,3.4813242432082436,-1.9880306259138418
181.0,2.0,205.0,449.0,38.0,283.0,1.0,0.970396601676941,3.481844843176511,-1.9884345373646743
182.0,2.0,205.0,449.0,38.0,283.0,1.0,0.970146601676941,3.4811162268524054,-1.9880956007712107
183.0,2.0,205.0,449.0,38.0,283.0,1.0,0.969896601676941,3.482837543098447,-1.989128495506676
184.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9696466016769411,3.482742845420957,-1.9897245523974003
185.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9693966016769411,3.4833997106516614,-1.9895881539156552
186.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9691466016769411,3.4833502388972595,-1.9891330361273083
187.0,2.0,205.0,450.0,38.0,283.0,1.0,0.9688966016769411,3.4828243059031325,-1.9876615828647852
188.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9686466016769412,3.4835676753034397,-1.98960642791971
189.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9683966016769412,3.482381016585918,-1.9894883931413745
190.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9681466016769412,3.4809902229339413,-1.9902356949667015
191.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9678966016769412,3.480346426846592,-1.9888785211509665
192.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9676466016769413,3.4811885511044194,-1.9900476742418594
193.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9673966016769413,3.4812844629057675,-1.990651369693691
194.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9671466016769413,3.4797792918023944,-1.9883685506383093
195.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9668966016769414,3.4805287821826925,-1.9901525867424403
196.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9666466016769414,3.4806941458247125,-1.9904285943311149
197.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9667105078697205,3.4806119538379128,-1.9884105669207612
198.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9667271971702576,3.480273596009144,-1.9878674099799278
199.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9677348136901855,3.47982785179164,-1.9881980761157358
200.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9700493812561035,3.4814310455974775,-1.9913821284843654
201.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9697993812561035,3.481206080369123,-1.9920205428170732
202.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9695493812561036,3.480022006170728,-1.9915729319893447
203.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9692993812561036,3.4808830573988767,-1.9918502823739432
204.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9690493812561036,3.4811949996128315,-1.9926392980985848
205.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9687993812561037,3.4815445730138683,-1.992699491239992
206.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9685493812561037,3.4799550674035724,-1.9903981725329107
207.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9682993812561037,3.4778318673021382,-1.9877401218029203
208.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9680493812561037,3.475462013668309,-1.9838588984020586
209.0,2.0,205.0,449.0,38.0,284.0,1.0,0.9677993812561038,3.463669691021539,-1.9661903577469144
210.0,2.0,205.0,449.0,38.0,284.0,1.0,0.9675493812561038,3.458728270851481,-1.9597196932856842
211.0,2.0,205.0,449.0,38.0,284.0,1.0,0.9672993812561038,3.463083477391877,-1.9675625475413938
212.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9670493812561038,3.471792288965415,-1.9797328452985754
213.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9667993812561039,3.475215564628226,-1.9835640476243452
214.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9665493812561039,3.476827837856299,-1.9864614589525103
215.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9662993812561039,3.47864526756595,-1.989161659838272
216.0,2.0,205.0,449.0,38.0,283.0,1.0,0.966049381256104,3.4788487013203535,-1.988920298198327
217.0,2.0,205.0,449.0,38.0,283.0,1.0,0.965799381256104,3.4771143183720703,-1.9857832670941766
218.0,2.0,205.0,449.0,38.0,283.0,1.0,0.965549381256104,3.475700141333299,-1.9836741929733224
219.0,2.0,205.0,449.0,38.0,283.0,1.0,0.965299381256104,3.472852835400271,-1.9797174923723622
220.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9650493812561041,3.4724589351711583,-1.9791519653659653
221.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9647993812561041,3.472235763292404,-1.9786926123001123
222.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9645493812561041,3.471918226338649,-1.9775320734314894
223.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9642993812561041,3.4727999701625376,-1.9788165017280928
224.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9640493812561042,3.471413488789079,-1.9768543359342277
225.0,2.0,205.0,449.0,38.0,284.0,1.0,0.9637993812561042,3.47091626609545,-1.9732520864194933
226.0,2.0,205.0,449.0,38.0,284.0,1.0,0.9635493812561042,3.4709378275998812,-1.971264661068593
227.0,2.0,205.0,449.0,38.0,284.0,1.0,0.9655271768569946,3.471574211780354,-1.9721239664259334
228.0,2.0,205.0,449.0,38.0,284.0,1.0,0.965561032295227,3.472196838405629,-1.9725863855830748
229.0,2.0,205.0,449.0,38.0,284.0,1.0,0.9653110322952271,3.472256649002063,-1.9731835245803657
230.0,2.0,205.0,449.0,38.0,284.0,1.0,0.9650610322952271,3.4730072594803136,-1.9733548057298642
231.0,2.0,205.0,449.0,38.0,284.0,1.0,0.9648110322952271,3.4730793755468308,-1.9712242092123766
232.0,2.0,205.0,449.0,38.0,284.0,1.0,0.9645610322952272,3.472342391284776,-1.9700425503886962
233.0,2.0,206.0,449.0,38.0,284.0,1.0,0.9643110322952272,3.4725659578848256,-1.9679992332756795
234.0,2.0,206.0,449.0,38.0,284.0,1.0,0.9640610322952272,3.470999922566344,-1.9675711077926958
235.0,2.0,206.0,449.0,38.0,284.0,1.0,0.9638110322952272,3.470059537576,-1.9639706281405747
236.0,2.0,206.0,450.0,38.0,284.0,1.0,0.9635610322952273,3.472687172597412,-1.9544959425392756
237.0,2.0,206.0,450.0,38.0,284.0,1.0,0.9633110322952273,3.475607822110716,-1.9639523566958963
238.0,2.0,206.0,450.0,38.0,283.0,1.0,0.9630610322952273,3.4878205398968145,-1.9821466540878439
239.0,2.0,206.0,450.0,37.0,282.0,1.0,0.9628110322952274,3.5029286733902603,-2.0097442353228705
239.0,6.0,389.0,426.0,60.0,138.0,1.0,0.43739253282546997,14.641709928329822,-15.248269293528026
240.0,2.0,206.0,449.0,37.0,281.0,1.0,0.9625610322952274,3.516081203344311,-2.0476090766980355
240.0,6.0,389.0,423.0,60.0,140.0,1.0,0.7724182605743408,14.19316539287585,-14.74384857801053
241.0,2.0,206.0,449.0,36.0,281.0,1.0,0.9623110322952274,3.51901884066414,-2.059112049134827
241.0,6.0,388.0,422.0,60.0,142.0,1.0,0.7721682605743408,13.70252998067657,-14.124022009119475
241.0,8.0,620.0,630.0,48.0,82.0,-1.0,0.0,52.1153365866215,-32.90712530134218
